"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
105374071,"LOC105374071",105374071,4387.61793027146,1.47025689633533,0.359734192852756,4.08706463146006,4.36865446753337e-05,0.00581213289818035
107987192,"LOC107987192",107987192,124.737471234801,1.63492567187616,0.400035474320484,4.08695172510215,4.37078020694693e-05,0.00581213289818035
107985115,"ZNF496-DT",107985115,47.2894302310348,2.01091753189747,0.493956591403719,4.07104099204926,4.68035116291323e-05,0.00615306620497082
27074,"LAMP3",27074,1616.41418169169,3.36873162966906,0.828134529138562,4.06785553691773,4.74477806497792e-05,0.00615753716697165
7071,"KLF10",7071,8244.15806737781,1.78607095527002,0.439168990409266,4.06693321767906,4.76358869776094e-05,0.00615753716697165
9027,"NAT8",9027,63.0853489763502,3.22169588798928,0.792448682669894,4.06549466034171,4.79306917675279e-05,0.00616122414509478
9156,"EXO1",9156,45.6521400233127,1.3883159958375,0.341979491794088,4.0596469354175,4.91469729073043e-05,0.00619452795054964
3433,"IFIT2",3433,122335.825645427,2.80420072258882,0.690766020153013,4.05955220838403,4.91669141286512e-05,0.00619452795054964
440836,"CIMAP1B",440836,1082.59890988803,1.85173373543854,0.455871128958529,4.06196755576289,4.86608412542037e-05,0.00619452795054964
10076,"PTPRU",10076,42.5343663452005,2.67335600444774,0.659297717938097,4.05485402377617,5.016562072946e-05,0.00625102391609064
147645,"VSIG10L",147645,71.231679758666,1.87791048143698,0.463171544807734,4.05445995655134,5.02502570832768e-05,0.00625102391609064
59341,"TRPV4",59341,57.0427951203878,1.72009047229273,0.424624502499078,4.05085072144762,5.10317575882042e-05,0.00629200360068255
773,"CACNA1A",773,265.227122836777,1.97810618596254,0.489063212658069,4.04468407102528,5.23937296088822e-05,0.00638120466395981
110806280,"CCDC194",110806280,164.8568982312,2.27460200021609,0.562372110276848,4.04465648037975,5.23998999979412e-05,0.00638120466395981
6672,"SP100",6672,27468.8378112798,1.09021005365784,0.270009825622738,4.03766807797987,5.39851637758927e-05,0.00653181943894885
387700,"SLC16A12",387700,6.32689260276045,3.01663312035577,0.747296150976303,4.03673044001993,5.42012849977604e-05,0.00653181943894885
11199,"ANXA10",11199,24.8298387310454,2.18396839269719,0.542081505243352,4.02885612508909,5.60489057242865e-05,0.00662494398028258
100874205,"ATP11A-AS1",100874205,58.4581180254545,2.02295356796392,0.501960467875504,4.03010535177375,5.57518596102177e-05,0.00662494398028258
23034,"SAMD4A",23034,1947.08458995863,2.4594284347373,0.612661038947786,4.01433791017826,5.96128930561245e-05,0.00696627838147782
442421,"PTGER4P2-CDK2AP2P2",442421,58.5291719638077,2.03652381520517,0.508328552450708,4.00631403722427,6.16736397635676e-05,0.0071708777731127
100996415,"FAM230D",100996415,12.2539096743653,4.24835337257482,1.06114182884826,4.00356790871761,6.2394279929645e-05,0.00721839424506063
952,"CD38",952,3584.64456979768,1.38903399311262,0.347469777659647,3.99756779558883,6.39966649993426e-05,0.00735067004003739
24138,"IFIT5",24138,6643.21354764778,1.88283133917759,0.471346233552766,3.99458233703444,6.48083969300556e-05,0.00735067004003739
7052,"TGM2",7052,255.569008734992,2.60117038808456,0.651136110829603,3.9948182028646,6.47439132631987e-05,0.00735067004003739
65987,"KCTD14",65987,31.8041501562911,3.06985511429258,0.769946501706228,3.98710184082879,6.68853201285095e-05,0.00754923188845586
2896,"GRN",2896,19507.2532420188,1.19646640523653,0.300197917539183,3.98559195561496,6.73121021753334e-05,0.00756052145695565
105370178,"LOC105370178",105370178,69.1860249441402,2.25419029563909,0.565901935243567,3.98335852071062,6.79481295165036e-05,0.00759509092151141
2296,"FOXC1",2296,30.2245354871376,2.62545840397874,0.659472289006189,3.98115045582165,6.85825191535931e-05,0.00762914580853768
219285,"SAMD9L",219285,48117.7512136154,2.14764467952064,0.540212341980385,3.97555648515455,7.02148752709892e-05,0.00772106575905092
105378020,"SIMALR",105378020,277.108360355933,3.53015303163604,0.889587428835406,3.96830363965182,7.23860665156809e-05,0.00789467116878972
105370355,"LOC105370355",105370355,304.244871164472,2.11019925008776,0.531891042800488,3.9673524844059,7.26754671515347e-05,0.00789467116878972
54877,"ZCCHC2",54877,16737.9372591611,1.64643304008174,0.416115102303171,3.95667696502443,7.59995925135416e-05,0.0082171895868146
94,"ACVRL1",94,110.296784834663,1.75830517628375,0.444645492351978,3.95439784396126,7.67276457453339e-05,0.00823864627288146
285180,"RUFY4",285180,1646.36831438189,2.6572612262773,0.672757190149693,3.94980724871337,7.82141529255716e-05,0.00826355739904967
9997,"SCO2",9997,957.15575864255,1.81308922312147,0.45895694687193,3.95045599697046,7.80024383530598e-05,0.00826355739904967
107985435,"LOC107985435",107985435,9.09226616853969,3.79600197883632,0.961584287528291,3.94765391663561,7.8920779161024e-05,0.00830031358285352
102723955,"PDE4DIPP7",102723955,46.2689913953021,1.55176929534739,0.393754978901922,3.94095155234574,8.11590183637971e-05,0.00846248631911443
259266,"ASPM",259266,169.364227935777,1.39782393859426,0.355921303041117,3.92733991095997,8.58905538600397e-05,0.00846248631911443
105374234,"LOC105374234",105374234,37.0133861794676,1.48361081742702,0.377878829067586,3.92615490285026,8.63145808328726e-05,0.00846248631911443
64761,"PARP12",64761,11936.8084682824,1.70343086561887,0.433701222049471,3.92765982435846,8.57764183174653e-05,0.00846248631911443
107986918,"LOC107986918",107986918,37.4774225930841,2.20805334341283,0.561557789678462,3.93201444979887,8.42370010050677e-05,0.00846248631911443
158405,"KIAA1958",158405,2341.90352940501,1.49768087511408,0.381089118270312,3.93000168021526,8.49452679881324e-05,0.00846248631911443
10346,"TRIM22",10346,60572.7716734964,1.58019553955305,0.402161082896096,3.92926020631717,8.5207598326092e-05,0.00846248631911443
105369735,"LOC105369735",105369735,62.8121327424302,1.78810266496311,0.455095880985122,3.9290680045104,8.5275723347138e-05,0.00846248631911443
90668,"CARMIL3",90668,299.169294114483,1.6451077264394,0.418726776292552,3.92883335764993,8.53589625890957e-05,0.00846248631911443
3430,"IFI35",3430,6630.27758520403,1.95705923997407,0.498108937628446,3.92897836624224,8.53075128031945e-05,0.00846248631911443
6241,"RRM2",6241,397.263857481167,1.3408735973193,0.341731489424268,3.92376365309013,8.71762626768529e-05,0.00851090449711824
3627,"CXCL10",3627,1806.11321487208,4.27930772193837,1.09190183155457,3.91913228668717,8.88683309820279e-05,0.00860349557431866
57674,"RNF213",57674,131142.564533435,1.4082665607042,0.359890005522847,3.91304715077674,9.11387303824559e-05,0.00875007445472724
