"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","18/271","350/18860",0.0514285714285714,3.57912493410648,5.88056635573605,3.4027336600315e-06,0.000243665319046603,0.000206967186919078,"EPHB2/CMPK2/DUSP10/TRIM6/AXL/C2/CXCL10/CD68/ABCA1/LILRB1/JAK2/CARD17P/LGALS9/PLSCR4/CHMP5/TICAM1/TRIM5/GCH1",18
"GO:0098586","cellular response to virus","9/271","89/18860",0.101123595505618,7.03760520751275,6.89337606734181,5.33033649090815e-06,0.000365466082201836,0.000310423687883067,"IFI44/OAS1/TRIM6/IFI6/IFIH1/CXCL10/JAK2/LGALS9/IRF5",9
"GO:0032640","tumor necrosis factor production","13/271","196/18860",0.0663265306122449,4.61593493485955,6.14415611396717,5.4365021335428e-06,0.000365466082201836,0.000310423687883067,"EPHB2/OAS1/OAS3/OAS2/AXL/IFIH1/RIGI/LILRB1/JAK2/LGALS9/LILRB4/TREX1/TICAM1",13
"GO:0032680","regulation of tumor necrosis factor production","13/271","196/18860",0.0663265306122449,4.61593493485955,6.14415611396717,5.4365021335428e-06,0.000365466082201836,0.000310423687883067,"EPHB2/OAS1/OAS3/OAS2/AXL/IFIH1/RIGI/LILRB1/JAK2/LGALS9/LILRB4/TREX1/TICAM1",13
"GO:0001959","regulation of cytokine-mediated signaling pathway","13/271","198/18860",0.0656565656565657,4.56930932945693,6.09612202634707,6.0730601595173e-06,0.000400093203308999,0.000339835661136778,"OAS1/USP18/OAS3/TRIM6/AXL/ISG15/IRF7/PARP14/PARP9/ZBP1/TREX1/IL1RN/STAT2",13
"GO:0071706","tumor necrosis factor superfamily cytokine production","13/271","201/18860",0.0646766169154229,4.50111068274862,6.02525801276887,7.15146964298255e-06,0.000453018096230472,0.000384789601438211,"EPHB2/OAS1/OAS3/OAS2/AXL/IFIH1/RIGI/LILRB1/JAK2/LGALS9/LILRB4/TREX1/TICAM1",13
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","13/271","201/18860",0.0646766169154229,4.50111068274862,6.02525801276887,7.15146964298255e-06,0.000453018096230472,0.000384789601438211,"EPHB2/OAS1/OAS3/OAS2/AXL/IFIH1/RIGI/LILRB1/JAK2/LGALS9/LILRB4/TREX1/TICAM1",13
"GO:0002440","production of molecular mediator of immune response","14/271","236/18860",0.0593220338983051,4.12846331853149,5.83937746056221,8.60011067542233e-06,0.000534504991789456,0.000454003856509882,"EPHB2/TRIM6/AXL/RSAD2/EXO1/RIGI/LILRB1/BST2/LACC1/LILRB4/TREX1/POLQ/TICAM1/IRF5",14
"GO:0060760","positive regulation of response to cytokine stimulus","8/271","72/18860",0.111111111111111,7.73267732677327,6.91082244724417,8.85699368646868e-06,0.000540276614874589,0.000458906222585453,"TRIM6/AXL/IRF7/PARP14/IFIH1/PARP9/ZBP1/RIGI",8
"GO:0032102","negative regulation of response to external stimulus","20/271","452/18860",0.0442477876106195,3.07938477614865,5.40277319602052,9.30150964407249e-06,0.00055707586850136,0.000473175361415209,"OAS1/USP18/OAS3/DUSP10/ISG15/SERPING1/PARP14/DHX58/FAP/GRN/KLF4/IFI16/LILRB1/TNFAIP6/LGALS9/MDK/TREX1/PLK2/STAT2/PTPRO",20
